Attendance,AVGCapcity,Month,Year,Gross,Performances,Type,Theatre
116582,97.35714286,2.071428571,2010,10935941,81,Play,Cort
93476,75.13333333,4.8,1997,2712516,89,Play,Cort
82769,55.58823529,3.294117647,2006,4501355,109,Play,Cort
2570,34,11,2003,100389,0,Play,Cort
58288,53.69230769,5,2011,2792677,73,Play,Cort
37872,64.28571429,3.428571429,2013,2475937,38,Play,Cort
110215,101.3076923,5.461538462,2010,12908907,88,Play,Cort
218241,98.96153846,4.692307692,2015,27652896,173,Play,Cort
158015,87.54166667,4,1998,5283095,144,Play,Cort
85684,62.05882353,10.11764706,2012.058824,6479055,108,Play,Cort
47006,42.15384615,10.38461538,2002.076923,2043835,76,Play,Cort
36852,43.4,8.2,2001,1361049,53,Play,Cort
39329,47.08333333,10.25,2004.083333,1828501,66,Play,Cort
160950,85.52173913,6.130434783,2013.565217,14346510,145,Play,Cort
54757,45.92857143,4.857142857,2005,2947551,93,Play,Cort
46200,52.63636364,5.363636364,2007,1825735,64,Play,Cort
65593,83.3,10,1996,1474936,46,Play,Cort
80312,63.73333333,5.533333333,2011.6,4262543,93,Play,Cort
75926,67.07142857,10.28571429,2015.071429,4453376,79,Play,Cort
162967,71.91666667,8.277777778,2008.027778,8758456,277,Play,Cort
101355,99.5,5.142857143,1998.642857,4589721,81,Play,Cort
94219,78.06666667,5.533333333,2014,7845617,105,Play,Cort
11208,28.2,4.4,2001,360983,24,Play,Cort
75092,45.73684211,4.368421053,2007.789474,4267706,137,Play,Cort
68122,46.94117647,7.294117647,2006.411765,3345956,112,Play,Cort
57421,52.76923077,5.153846154,2012,2509091,80,Play,Cort
112415,66.6,9.8,2014.05,7229324,133,Play,Cort
97638,64.47368421,8.210526316,2010.263158,7053123,126,Play,Cort
44188,70.5,6.666666667,2016,3495760,75,Play,Booth
49960,70.54545455,5.181818182,1994,1393461,73,Play,Booth
74286,83.33333333,9.733333333,2006.133333,5424237,94,Play,Booth
203582,79.16666667,6.095238095,1999.642857,9815693,297,Play,Booth
54593,55.71428571,3.952380952,1997,1931156,126,Play,Booth
51037,81,10.36363636,2008.090909,2796827,50,Play,Booth
99297,93.64705882,6.058823529,2006,7583448,117,Play,Booth
173143,66.93023256,7.488372093,2015.023256,12134434,311,Play,Booth
155631,67.08108108,7.216216216,1995,4589010,277,Play,Booth
18112,64.4,3.8,2011,449955,7,Play,Booth
31993,75.57142857,2.571428571,2016,2023264,37,Play,Booth
69337,100.2307692,5.076923077,2013,9561477,71,Play,Booth
21365,39.55555556,7.888888889,2002,793377,53,Play,Booth
32876,67.45454545,10.36363636,1998.090909,1228086,51,Play,Booth
106652,57.04878049,7.658536585,1996.02439,3856374,234,Play,Booth
171304,78.83333333,5.694444444,2011.694444,14799861,261,Play,Booth
55571,97,7.5,2002.4,3757006,59,Play,Booth
38021,63.36363636,9.454545455,2005.181818,1526743,55,Play,Booth
92102,100.875,6.5,2014.5,14717696,83,Play,Booth
133868,87.36,7.68,2013.32,14107163,173,Play,Booth
19837,37.44444444,11.11111111,2004,843035,40,Play,Booth
111014,68.88461538,5.153846154,1997.730769,3820480,197,Play,Booth
137521,84,6.230769231,2005,8946186,185,Play,Booth
89666,66.77272727,7.136363636,2003.409091,4496405,147,Play,Booth
76919,63.2,5.45,2007.65,4512348,133,Play,Booth
114278,77.17857143,5.428571429,2000.714286,5562894,184,Play,Booth
19293,66.6,4.2,2014,544617,16,Play,Booth
100961,77.45833333,5.541666667,2007,7293267,144,Play,Booth
80291,71.57894737,6,2008,4613166,126,Play,Booth
5500,88,8,1990,134456,8,Play,Booth
55886,63.4,4.333333333,1999,1751272,99,Play,Booth
82952,67.08695652,7.304347826,2012.391304,6444452,142,Play,Booth
92749,85,7.294117647,2014.411765,11703597,100,Play,Golden
32130,74,10.25,2013,1720560,33,Play,Golden
131694,81.85185185,6.111111111,2010.555556,13586627,180,Play,Golden
77911,72.17647059,4.294117647,2016,5744145,121,Play,Golden
2343,42,6,1995,57491,7,Play,Golden
112483,86.24324324,5.243243243,1999.837838,5303427,186,Play,Golden
280797,83.27868852,6.967213115,1996.327869,9350941,413,Play,Golden
60704,55.5,4.277777778,2014,3558406,104,Play,Golden
39824,62.3,10.7,2009,2177335,65,Play,Golden
87631,88.625,4.625,2010,6835696,101,Play,Golden
132687,76.64285714,5.428571429,2011.678571,9819692,191,Play,Golden
225693,64.90740741,6.611111111,1998.814815,7736485,432,Play,Golden
84202,99.21428571,4.571428571,2015,10126159,85,Play,Golden
115757,68.81481481,6.296296296,2001,5141100,198,Play,Golden
22583,70.6,11.6,2012,1651411,17,Play,Golden
48303,71.41666667,4.666666667,1998,1830517,74,Play,Golden
70656,76.9375,9.625,2015.125,5514614,92,Play,Golden
179887,67.90697674,7,2002,7932478,309,Play,Golden
67970,88.16666667,5.583333333,2011,4237705,86,Play,Golden
138147,87.88,5.52,2013,13130430,189,Play,Golden
50193,67.91666667,3.333333333,2003,1915989,69,Play,Golden
141445,82.66666667,5.857142857,2007,9395227,137,Play,Jacobs
105979,76.75,6.625,2005,7017805,128,Play,Jacobs
414191,80.83606557,5.737704918,2009.377049,37345584,452,Play,Jacobs
120125,71.45,3.55,2015,11301001,157,Play,Jacobs
102787,70.42105263,6.315789474,2007.526316,6767495,123,Play,Jacobs
99407,74.5625,3.6875,2011,8443019,97,Play,Jacobs
81577,62.0625,5.4375,2008,5949235,97,Play,Jacobs
123293,82.22222222,8.611111111,2011.222222,10864181,117,Play,Jacobs
102670,99.5,4.833333333,2006,11427896,70,Play,Jacobs
115746,80.05555556,6.888888889,2015.444444,8427267,115,Play,Lyceum
114762,71.52173913,7.260869565,2014.391304,8534968,149,Play,Lyceum
93227,73.05555556,5.555555556,2016,7068657,112,Play,Lyceum
84440,76.55,4.65,2011,6179540,95,Play,Lyceum
11388,40,11.4,1996,286310,22,Play,Lyceum
176011,64.96,6.34,2003.86,8648562,360,Play,Lyceum
47282,56.75,9.583333333,2009.166667,2129999,60,Play,Lyceum
99852,84.4375,5.0625,2007,6805286,100,Play,Lyceum
58357,52.3125,5.5625,2007.625,2882050,105,Play,Lyceum
31207,57,3,2010,1262525,33,Play,Lyceum
51048,88.33333333,4.333333333,2008,4105572,52,Play,Lyceum
75829,58.38888889,5.388888889,2002,2766340,112,Play,Lyceum
47662,66.5,2.8,1999,1577697,39,Play,Lyceum
43457,44.57142857,4.428571429,2009,1936204,85,Play,Lyceum
40598,79.875,4.375,2000,1230595,42,Play,Lyceum
1120,15,11,1995,27661,1,Play,Lyceum
21953,37.90909091,9.454545455,2005.181818,945935,68,Play,Lyceum
72860,49.85,5.3,2005,4139622,136,Play,Lyceum
81779,54.04761905,6.047619048,1997,2260537,145,Play,Lyceum
104598,82.94444444,4.611111111,2001,3918862,108,Play,Lyceum
76621,59.95,6.4,2006,3808107,142,Play,Lyceum
20296,34.375,5.125,1999,619334,55,Play,Lyceum
112339,74.80952381,5.523809524,2013,8563126,136,Play,Lyceum
63237,61.13333333,4.4,2003,2530951,89,Play,Lyceum
95429,82.88235294,4.823529412,2014,8209761,105,Play,Lyceum
127504,57.61290323,4.870967742,1997.83871,5023827,230,Play,Lyceum
78439,64.57894737,4,2012,6335320,143,Play,Lyceum
50144,65.07692308,7.461538462,2004.384615,2584289,72,Play,Lyceum
32571,38.3,10.3,2004.1,1700078,57,Play,Royale
116327,89.93333333,5.266666667,2004,7941028,88,Play,Royale
67446,48.75,6.5,2003.5,3115592,113,Play,Royale
529168,79.56410256,5.961538462,1998.410256,24287247,600,Play,Royale
263203,70.52272727,7.431818182,2000.068182,11570839,326,Play,Royale
29432,76.6,4.4,2005,1514600,9,Play,Royale
45737,52,2.545454545,2003,2427214,68,Play,Royale
55872,64.7,5.9,2003,2276295,49,Play,Royale
122341,81.2,5.25,2001,6477718,121,Play,Royale
35323,61,10.75,2002,2080448,39,Play,Royale
109522,85.5,7.888888889,2001.333333,5337342,67,Play,Royale
107557,79.4375,10.6875,1996,4514236,116,Play,Royale
44594,51.9,4.5,2002,1574221,57,Play,Royale
90661,56.47368421,6.210526316,1999.526316,3013098,128,Play,Royale
143989,89.17391304,5.956521739,1997,6495976,150,Play,Belasco
14607,52.25,11,2008,739550,8,Play,Belasco
74205,68.71428571,4.785714286,2006,3384141,80,Play,Belasco
107039,73.42105263,3.842105263,2016,7855675,108,Play,Belasco
85013,49,6.19047619,2003,3492109,143,Play,Belasco
99053,56.90909091,5.727272727,2012,6856068,160,Play,Belasco
195423,72.96969697,7.454545455,2002.30303,11458493,243,Play,Belasco
54318,66.45454545,8.727272727,2012.272727,3106647,53,Play,Belasco
105388,97.46666667,5.6,1995,5094936,91,Play,Belasco
41160,48.81818182,4.818181818,1998,1132819,57,Play,Belasco
69868,43.47619048,7.047619048,1997.428571,2261732,128,Play,Belasco
66014,64.69230769,4.538461538,2009,3022226,69,Play,Belasco
53094,37.22222222,3.888888889,2007,2514849,125,Play,Belasco
102854,92.14285714,4.428571429,2005,8543103,81,Play,Belasco
47453,48.30769231,5,1999,1282880,66,Play,Belasco
15394,51.5,10.75,1995,357454,21,Play,Belasco
22321,38.71428571,10.57142857,2003,716751,30,Play,Belasco
7526,26,4.5,2002,253992,20,Play,Belasco
147748,99.66666667,7.444444444,2013.388889,13930965,113,Play,Belasco
12005,94,12,2001,819397,8,Play,Marquis
162121,66.38095238,4.80952381,2009,11603724,145,Play,Shubert
37235,68.09090909,10.45454545,2005,1816196,56,Play,Biltmore
33008,66.1,5.6,2005,1558313,38,Play,Biltmore
43367,78.54545455,2.090909091,2005,2135668,62,Play,Biltmore
37416,67.18181818,1.909090909,2008,2052427,58,Play,Biltmore
33799,67.9,2.6,2004,1619255,54,Play,Biltmore
30824,61.8,10.3,2006,1548011,53,Play,Biltmore
41237,74.27272727,10.09090909,2007,2293948,61,Play,Biltmore
58154,89.69230769,2.384615385,2006,3203305,77,Play,Biltmore
59677,90.76923077,10.69230769,2004,3004690,77,Play,Biltmore
57529,87.46153846,5.615384615,2006,3217082,80,Play,Biltmore
50622,85.33333333,6,2004,2724614,70,Play,Biltmore
39431,79.1,11.1,2003,2037981,54,Play,Biltmore
41199,72.81818182,5.272727273,2008,2211556,63,Play,Biltmore
43049,85.8,1.8,2007,2141231,53,Play,Biltmore
20224,41,11.25,2003,990923,28,Play,Broadway
41751,67.5,5.083333333,2009,2028775,71,Play,Friedman
36708,75,4.7,2015,1521105,53,Play,Friedman
41886,76.27272727,9.909090909,2012,1967382,59,Play,Friedman
54116,81.46153846,5.076923077,2014,3028464,79,Play,Friedman
32239,65,4.9,2010,1348639,54,Play,Friedman
66543,97.23076923,3.461538462,2014.846154,6642180,76,Play,Friedman
52876,82.61538462,10.53846154,2015,3721858,75,Play,Friedman
81075,97.5,3.6875,2011,5925428,101,Play,Friedman
52956,88.66666667,7.333333333,2011,3244777,67,Play,Friedman
35508,72.7,1.6,2016,1727741,53,Play,Friedman
50227,92.45454545,1.909090909,2014,3351777,61,Play,Friedman
38583,64.16666667,2,2009,2001797,70,Play,Friedman
82288,85.73684211,5.263157895,2013,5402056,119,Play,Friedman
59702,84.21428571,5.285714286,2012,3505086,86,Play,Friedman
44110,78.09090909,10.09090909,2014,2383928,61,Play,Friedman
50634,75.53846154,4.769230769,2016,3419470,78,Play,Friedman
49929,81.5,4.25,2012.75,2876466,61,Play,Friedman
48162,71.23076923,10.46153846,2010,2531130,86,Play,Friedman
53252,79.53846154,10.53846154,2009,2627586,77,Play,Friedman
44083,79.81818182,10.90909091,2013,2376183,60,Play,Friedman
56821,92.08333333,2,2010,3374918,67,Play,Friedman
21960,46.88888889,10.11111111,2008,1166048,40,Play,Friedman
46409,92.4,11,2011,3214825,48,Play,Friedman
44863,81.90909091,1.909090909,2012,2302405,60,Play,Friedman
55078,89.28571429,11.71428571,2013,8106145,41,Play,Imperial
159363,62.13043478,5.260869565,2007.695652,10624210,160,Play,Imperial
33065,49.16666667,4.666666667,2007,1602370,30,Play,Imperial
56664,57.08333333,8,2001,2658624,83,Play,Longacre
227265,71.13157895,8.052631579,2008.026316,13951563,279,Play,Longacre
72385,52.3125,7.9375,2011.3125,4325401,109,Play,Longacre
99641,42.18518519,5.62962963,2002.666667,3377597,198,Play,Longacre
34346,39.6,4.4,1998,828439,69,Play,Longacre
57914,53.46153846,3.538461538,2001,2025590,56,Play,Longacre
27322,69.4,4.2,2015,811148,16,Play,Longacre
34446,52.125,4.125,2012,1136102,37,Play,Longacre
155377,97.26315789,5.263157895,2014,15938704,118,Play,Longacre
6752,136,11,2003,225202,1,Play,Longacre
3303,387.75,4.5,2004,111855,5,Play,Longacre
84405,51.31578947,4.210526316,2007,4489013,121,Play,Longacre
65891,65.33333333,4.583333333,2000,2557061,56,Play,Longacre
19860,61,10.75,2012,737219,6,Play,Longacre
50356,45.46153846,4.384615385,1997,1340187,84,Play,Longacre
42090,50.63636364,8.727272727,1999,1245034,68,Play,Longacre
27536,33.4,3.9,2006,1162288,52,Play,Longacre
118994,59.15384615,5.769230769,2005,6574830,177,Play,Longacre
160368,71.88461538,7.653846154,2014.307692,13227324,169,Play,Longacre
187407,83.46153846,6.576923077,1996,5995428,185,Play,Plymouth
130827,95.26315789,6.421052632,2003,11333178,117,Play,Plymouth
49757,57.72727273,4.090909091,2004,2333156,53,Play,Plymouth
321840,74.31372549,6.647058824,2002.176471,17834908,380,Play,Plymouth
112255,65.58823529,10.64705882,2000,5998667,121,Play,Virginia
68803,56.91666667,5.25,2001,2479599,72,Play,Virginia
115021,77.35294118,3.941176471,2002,7657715,101,Play,Virginia
7481,100,6,1995,320994,15,Play,Criterion
34601,98.88888889,6.888888889,1996,1019814,32,Play,Criterion
48528,93.53846154,5.461538462,1997.615385,1945902,81,Play,Criterion
39976,92.72727273,5.272727273,1997,1493967,72,Play,Criterion
51183,91.5,7.357142857,1998,2071842,85,Play,Criterion
36681,97.2,9.1,1996,1194418,53,Play,Criterion
38764,85.08333333,3.833333333,1998,1379259,61,Play,Criterion
51829,90.4,3.8,1999,2099821,93,Play,Criterion
1240,83,6,1995,32682,0,Play,Criterion
36206,91.09090909,9.636363636,1996.181818,1147712,55,Play,Criterion
43322,99.81818182,2.545454545,1997,1708904,61,Play,Criterion
116726,67.13636364,3.590909091,1999.909091,5019461,173,Play,Music Box
304479,63.73770492,6.37704918,2008.42623,22211396,488,Play,Music Box
174965,70.35294118,6.764705882,1997,6566575,236,Play,Music Box
124967,71.09090909,6.818181818,2003.454545,8898242,145,Play,Music Box
131326,68.95833333,5.583333333,1999,5318897,172,Play,Music Box
110199,61.19230769,5.307692308,2004.692308,7021853,163,Play,Music Box
39768,55.66666667,10.44444444,2012.111111,3089827,44,Play,Music Box
86895,58.42105263,6.052631579,2007,5361739,121,Play,Music Box
35065,51.55555556,4.222222222,2006,1853946,49,Play,Music Box
98735,63.4,4.95,2002,4318899,127,Play,Music Box
118970,73.66666667,5.904761905,2011,8004618,141,Play,Music Box
98107,81.41176471,8.117647059,2015.294118,9411612,103,Play,Music Box
73042,58.625,9.5625,2010.125,4382858,101,Play,Music Box
121572,68.52173913,5.47826087,2010,8249462,153,Play,Music Box
10926,54,6,2000,489308,13,Play,Music Box
140382,84.09090909,6.181818182,2012,13071416,159,Play,Music Box
29520,73.33333333,7.333333333,2005,1952699,35,Play,Music Box
43018,68.66666667,10.33333333,2011.111111,2773632,53,Play,Music Box
74490,59.8125,10.125,2009.0625,4239113,109,Play,Music Box
156663,67.8,5,1997.8,6086337,221,Play,Music Box
291757,74.08333333,6.416666667,2000.729167,13974313,364,Play,Music Box
76700,55.27777778,6.5,2007.5,4512535,104,Play,Music Box
50970,63.6,3.6,2015,3257022,53,Play,Music Box
104375,75.72222222,6.166666667,2006.555556,7308875,117,Play,Music Box
26397,39.33333333,4.666666667,2009,1381950,32,Play,St. James
77997,73.93333333,5,2005,4079447,73,Play,Studio 54
69042,75.66666667,7.166666667,2005.416667,3609646,58,Play,Studio 54
91199,90.76923077,6.153846154,2015,11082666,76,Play,Studio 54
94033,70.88235294,10,2010.058824,5210372,111,Play,Studio 54
93579,98.91666667,6.416666667,2012,6802810,62,Play,Studio 54
75147,75.30769231,10.38461538,2007,3438536,69,Play,Studio 54
71091,66.35714286,10.28571429,2015.071429,5184011,75,Play,Studio 54
111164,95.4,5.266666667,2009,6908255,84,Play,Studio 54
102216,76.64705882,9.117647059,2009.176471,5649906,118,Play,Studio 54
83031,57.05882353,9.647058824,2001.117647,3297340,117,Play,Ambassador
99678,62.44444444,5.277777778,2000,3948515,121,Play,Ambassador
121725,62.77272727,5.409090909,2002,5405007,144,Play,Ambassador
217604,100.0344828,5.24137931,2004.758621,21674355,163,Play,Broadhurst
97561,65.3125,5.5,2012,6060065,105,Play,Broadhurst
162346,91.52631579,4.157894737,2008,12603337,125,Play,Broadhurst
108898,67.88235294,9.647058824,2001.117647,5426431,108,Play,Broadhurst
27431,61.2,4.4,2010,1489074,16,Play,Broadhurst
140597,66.73913043,8.130434783,2008.26087,11962267,156,Play,Broadhurst
99759,87.46153846,10.30769231,2009,10010252,72,Play,Broadhurst
163710,101.1052632,4.631578947,2013,22992145,104,Play,Broadhurst
103007,56.25,5.85,2009,6088106,137,Play,Broadhurst
112692,74.64705882,7.176470588,2015.411765,12518415,102,Play,Broadhurst
51007,49.63636364,9.545454545,1997.181818,2172196,77,Play,Broadhurst
216917,96.36,6.76,2006,16775002,185,Play,Broadhurst
99964,76.13333333,5.933333333,1998,4629082,103,Play,Broadhurst
115374,101.4,8,2010.333333,15335104,73,Play,Broadhurst
91218,83.91666667,11.16666667,1995,4609277,70,Play,Broadhurst
140375,65.13636364,6.045454545,1998,4529545,158,Play,Neil Simon
177511,79.15,4.25,2014,19492726,131,Play,Neil Simon
94831,73.8,4.066666667,2010,6848680,108,Play,Schoenfeld
45770,53.5,10.3,2010,2583745,56,Play,Schoenfeld
109175,100.7692308,10.30769231,2009,15168742,80,Play,Schoenfeld
128332,92,9.588235294,2008.117647,11029640,101,Play,Schoenfeld
86727,86.13333333,7.866666667,2015.333333,12630662,54,Play,Schoenfeld
96421,97,9.071428571,2012.214286,14301932,45,Play,Schoenfeld
185919,81,5.851851852,2012,18329754,185,Play,Schoenfeld
44558,54.63636364,3.727272727,2009,2776558,56,Play,Schoenfeld
173497,98.47619048,9.047619048,2014.142857,26199965,117,Play,Schoenfeld
55985,81.75,4.25,2013,4056117,37,Play,Schoenfeld
146613,100.85,4.2,2015,22072987,114,Play,Schoenfeld
19409,41.66666667,4.5,2006,945803,17,Play,Schoenfeld
7234,87,8,2016,603770,8,Play,Schoenfeld
130240,86.38888889,5.111111111,2011,10451323,112,Play,Schoenfeld
102454,76.63333333,4.333333333,2006,6135555,213,Play,Helen Hayes
6542,46.25,8.75,1998,241753,22,Play,Helen Hayes
53090,58.3,6.4,2010.5,3075662,135,Play,Helen Hayes
167184,82.01785714,6.964285714,1995.928571,6383272,341,Play,Helen Hayes
163977,74.55319149,6.978723404,2000.191489,7925422,352,Play,Helen Hayes
36214,50.6,10.46666667,1999,1317751,93,Play,Helen Hayes
27495,41.14285714,5.714285714,2001,1055351,96,Play,Helen Hayes
14353,38.375,10.625,1998,484281,41,Play,Helen Hayes
180557,60.43076923,7.353846154,2003.815385,9309657,493,Play,Helen Hayes
53002,48.80769231,5.769230769,2005,2964688,172,Play,Helen Hayes
12107,25.7,10.3,2006,587011,70,Play,Helen Hayes
26013,34.8125,10.0625,2005.0625,1104272,93,Play,Helen Hayes
57552,61.85,4.4,2010,3056830,132,Play,Helen Hayes
33799,70.7,5.3,1999,1350060,80,Play,Helen Hayes
131349,56.65306122,6.428571429,2002.693878,5874615,364,Play,Helen Hayes
164221,68.58823529,6.62745098,2009.039216,10111319,407,Play,Helen Hayes
112831,93.40740741,4.259259259,2016,10911251,181,Play,Helen Hayes
243216,70.15068493,5.835616438,1997.356164,11548547,556,Play,Helen Hayes
17858,51.125,3.5,2002,533380,40,Play,Helen Hayes
131262,82.375,8.875,1995.3125,4904023,101,Play,Martin Beck
13000,70.5,11,1997,800000,12,Play,Martin Beck
21631,53.2,10.2,2009,539369,9,Play,Nederlander
74433,61.42105263,7.052631579,2007.421053,4888172,111,Play,Walter Kerr
97163,81.6875,4.8125,2000,5140269,120,Play,Walter Kerr
133198,76.17391304,6.086956522,2012,8767402,157,Play,Walter Kerr
406085,79.88405797,6.014492754,2005.391304,27656473,525,Play,Walter Kerr
54245,66.45454545,6,2004.545455,2577530,72,Play,Walter Kerr
64931,53.5625,4.625,2009,3070112,105,Play,Walter Kerr
4154,55,6,1995,120573,8,Play,Walter Kerr
133335,70.46153846,5.884615385,1996.615385,4334972,175,Play,Walter Kerr
634994,73.63247863,7.017094017,2001.358974,32896994,917,Play,Walter Kerr
71356,62.86666667,7.2,1996,2428850,120,Play,Walter Kerr
13482,36,3.8,2004,509381,12,Play,Walter Kerr
214263,60.8125,6.979166667,2003.020833,10975816,355,Play,Walter Kerr
281378,77.33333333,6.729166667,1998.229167,12496388,365,Play,Walter Kerr
131650,89.45,4.9,2016,11687115,125,Play,Walter Kerr
105465,77.94736842,8,2012.315789,9604456,117,Play,Walter Kerr
74693,85.75,5.083333333,2011,5707721,72,Play,Walter Kerr
85825,80.85714286,10.64285714,2008,6430741,94,Play,Walter Kerr
32424,80,4,2013,1279803,16,Play,Walter Kerr
179837,66.19444444,7.388888889,1999,6874875,277,Play,Walter Kerr
52581,65.72727273,5.181818182,1999.636364,3146238,69,Play,Walter Kerr
67830,60.4,4.2,1996,2731254,65,Play,Lunt-Fontanne
104415,61.375,4.875,2015,9970896,103,Play,Winter Garden
70012,57,3.666666667,2009,4380302,85,Play,Eugene O'Neill
293385,92.5,5.9,1999,15190655,274,Play,Eugene O'Neill
8855,39,10,1998,247279,5,Play,Eugene O'Neill
13851,35,3.8,1998,371767,13,Play,Eugene O'Neill
78118,64.46666667,3.733333333,2000,3367667,114,Play,Eugene O'Neill
15548,29.83333333,1.166666667,2000,418284,28,Play,Eugene O'Neill
78866,90.72727273,4.727272727,2007,5912588,71,Play,Brooks Atkinson
59056,67.36363636,5.272727273,1996,1361820,72,Play,Brooks Atkinson
124982,62.875,5.375,2004.666667,7091677,173,Play,Brooks Atkinson
78865,72.71428571,5.357142857,2004,3957158,89,Play,Brooks Atkinson
59467,55.85714286,10.42857143,2014,4124389,95,Play,Brooks Atkinson
12184,64,6,2005,617468,15,Play,Brooks Atkinson
58891,67.25,5,2002.666667,2454181,78,Play,Brooks Atkinson
298100,76.93478261,6.217391304,2001.76087,14678125,348,Play,Brooks Atkinson
255200,72.51162791,7.511627907,2012.069767,17698854,319,Play,Brooks Atkinson
126852,77.73684211,8.210526316,2011.263158,10077527,117,Play,Brooks Atkinson
67592,61.30769231,11.07692308,1996,1723675,85,Play,Brooks Atkinson
15122,75.33333333,7,2005,191165,9,Play,Brooks Atkinson
115256,100.625,5.375,1999,8200517,102,Play,Brooks Atkinson
296923,99.45714286,5.8,2005.657143,28938436,249,Play,Brooks Atkinson
88453,82.92857143,8.285714286,1999.285714,3321242,82,Play,Brooks Atkinson
64242,80.8,4.8,2000,2366742,49,Play,Brooks Atkinson
91598,81.71428571,4.857142857,1998,4125132,97,Play,Brooks Atkinson
117152,100,4.4,2014,16253561,85,Play,Ethel Barrymore
146568,79.66666667,5.476190476,1992,5947347,137,Play,Ethel Barrymore
117926,93.5,5.375,1999,5911176,103,Play,Ethel Barrymore
220920,64.15,7.675,1996.1,7755341,307,Play,Ethel Barrymore
78061,60.82352941,4.294117647,2011,4881785,108,Play,Ethel Barrymore
117936,100,10.35714286,2013.071429,17501418,83,Play,Ethel Barrymore
110550,98.75,3.875,2012,12868982,78,Play,Ethel Barrymore
108893,75.77777778,5.111111111,1998.666667,4629683,116,Play,Ethel Barrymore
20665,63.25,11,2010,686837,9,Play,Ethel Barrymore
96429,81.13333333,4.333333333,2009,6703380,93,Play,Ethel Barrymore
50516,49.58333333,5.833333333,2002.583333,2857950,76,Play,Ethel Barrymore
6549,75,6,1995,280896,8,Play,Ethel Barrymore
63681,72.73333333,5.333333333,2013,5202863,73,Play,Ethel Barrymore
160076,63.5,4.366666667,2007.933333,11194646,205,Play,Ethel Barrymore
197595,58.325,5.5,2009.85,14939910,297,Play,Ethel Barrymore
56181,89.5,5,2003,3702428,40,Play,Ethel Barrymore
141591,69.12,5.68,2004,8121077,173,Play,Ethel Barrymore
114722,66.42857143,7.380952381,2008.380952,8477093,140,Play,Ethel Barrymore
691205,85.20792079,6.435643564,2015.168317,66641346,775,Play,Ethel Barrymore
80428,51.68421053,4.526315789,2005,4573842,120,Play,Ethel Barrymore
116022,68.25,5.75,2000,5645810,136,Play,Ethel Barrymore
510634,81.25,6.027777778,1993.402778,19086077,556,Play,Ethel Barrymore
612691,72.93069307,6.514851485,2001.247525,29310727,777,Play,Ethel Barrymore
95966,66.61538462,9.692307692,2001.153846,3839871,73,Play,Richard Rodgers
97721,55.88235294,4.764705882,2011,7889821,108,Play,Richard Rodgers
120057,73.66666667,3.4,2012.866667,11661203,84,Play,Richard Rodgers
93392,90.09090909,10.27272727,2007.090909,8098290,56,Play,Richard Rodgers
132104,72.75,6.35,2002,7083941,127,Play,Richard Rodgers
84914,55.625,10.0625,2013,6208798,93,Play,Richard Rodgers
53082,63.18181818,10.27272727,2010.090909,2591058,53,Play,Vivian Beaumont
72546,68.23076923,4.615384615,2014,4761068,67,Play,Vivian Beaumont
66008,72.90909091,3.454545455,1998,1721052,54,Play,Vivian Beaumont
